mes_num,mes,observado_2025,estimado_2026_oficial,estimado_2026_ajustado,observado_2026_oficial,observado_2026_ajustado
1,Enero,120953,123741,133432,131779.0,139889.0
2,Febrero,118602,119926,128652,118305.0,125755.0
3,Marzo,128434,124410,133920,131566.0,140246.0
4,Abril,109420,113124,123400,118859.0,126913.0
5,Mayo,121110,119776,130599,127107.0,136135.0
6,Junio,117780,115158,125706,126902.0,136194.0
7,Julio,126541,130448,141884,130835.0,140141.0
8,Agosto,126545,127949,138901,129362.0,137341.0
9,Septiembre,119766,118665,129535,,
10,Octubre,132674,132565,143240,,
11,Noviembre,148362,149536,162267,,
12,Diciembre,154448,152628,166866,,
