periodo,tipo,segmento,unidades
Julio 2026,mes,Subcompactos,28530
Julio 2026,mes,Compactos,19949
Julio 2026,mes,De lujo,2334
Julio 2026,mes,Deportivos,669
Julio 2026,mes,Usos múltiples,56443
Julio 2026,mes,Camiones ligeros,22659
Julio 2026,mes,Camiones pesados,251
Agosto 2025,mes,Subcompactos,26918
Agosto 2025,mes,Compactos,19804
Agosto 2025,mes,De lujo,2568
Agosto 2025,mes,Deportivos,820
Agosto 2025,mes,Usos múltiples,53486
Agosto 2025,mes,Camiones ligeros,22882
Agosto 2025,mes,Camiones pesados,67
Agosto 2026,mes,Subcompactos,28318
Agosto 2026,mes,Compactos,19223
Agosto 2026,mes,De lujo,2393
Agosto 2026,mes,Deportivos,752
Agosto 2026,mes,Usos múltiples,55601
Agosto 2026,mes,Camiones ligeros,22837
Agosto 2026,mes,Camiones pesados,238
Enero-Agosto 2025,acumulado,Subcompactos,203210
Enero-Agosto 2025,acumulado,Compactos,170851
Enero-Agosto 2025,acumulado,De lujo,18622
Enero-Agosto 2025,acumulado,Deportivos,6092
Enero-Agosto 2025,acumulado,Usos múltiples,397895
Enero-Agosto 2025,acumulado,Camiones ligeros,171417
Enero-Agosto 2025,acumulado,Camiones pesados,1298
Enero-Agosto 2026,acumulado,Subcompactos,230125
Enero-Agosto 2026,acumulado,Compactos,161162
Enero-Agosto 2026,acumulado,De lujo,20011
Enero-Agosto 2026,acumulado,Deportivos,6239
Enero-Agosto 2026,acumulado,Usos múltiples,423891
Enero-Agosto 2026,acumulado,Camiones ligeros,171995
Enero-Agosto 2026,acumulado,Camiones pesados,1292
