fecha,anio,mes_num,mes,unidades
2008-01-01,2008,1,Enero,96846
2008-02-01,2008,2,Febrero,86997
2008-03-01,2008,3,Marzo,80119
2008-04-01,2008,4,Abril,83106
2008-05-01,2008,5,Mayo,85827
2008-06-01,2008,6,Junio,81424
2008-07-01,2008,7,Julio,85324
2008-08-01,2008,8,Agosto,86119
2008-09-01,2008,9,Septiembre,76620
2008-10-01,2008,10,Octubre,83307
2008-11-01,2008,11,Noviembre,78555
2008-12-01,2008,12,Diciembre,101300
2009-01-01,2009,1,Enero,69664
2009-02-01,2009,2,Febrero,61579
2009-03-01,2009,3,Marzo,64242
2009-04-01,2009,4,Abril,51395
2009-05-01,2009,5,Mayo,53440
2009-06-01,2009,6,Junio,55974
2009-07-01,2009,7,Julio,56443
2009-08-01,2009,8,Agosto,58926
2009-09-01,2009,9,Septiembre,58505
2009-10-01,2009,10,Octubre,67882
2009-11-01,2009,11,Noviembre,64914
2009-12-01,2009,12,Diciembre,91961
2010-01-01,2010,1,Enero,64064
2010-02-01,2010,2,Febrero,59518
2010-03-01,2010,3,Marzo,65414
2010-04-01,2010,4,Abril,60432
2010-05-01,2010,5,Mayo,61632
2010-06-01,2010,6,Junio,59910
2010-07-01,2010,7,Julio,61960
2010-08-01,2010,8,Agosto,66931
2010-09-01,2010,9,Septiembre,65934
2010-10-01,2010,10,Octubre,74095
2010-11-01,2010,11,Noviembre,75582
2010-12-01,2010,12,Diciembre,104941
2011-01-01,2011,1,Enero,68767
2011-02-01,2011,2,Febrero,66990
2011-03-01,2011,3,Marzo,75125
2011-04-01,2011,4,Abril,65246
2011-05-01,2011,5,Mayo,68634
2011-06-01,2011,6,Junio,68366
2011-07-01,2011,7,Julio,68533
2011-08-01,2011,8,Agosto,75681
2011-09-01,2011,9,Septiembre,73998
2011-10-01,2011,10,Octubre,75748
2011-11-01,2011,11,Noviembre,83107
2011-12-01,2011,12,Diciembre,115698
2012-01-01,2012,1,Enero,75297
2012-02-01,2012,2,Febrero,74704
2012-03-01,2012,3,Marzo,83574
2012-04-01,2012,4,Abril,69890
2012-05-01,2012,5,Mayo,80268
2012-06-01,2012,6,Junio,78508
2012-07-01,2012,7,Julio,76378
2012-08-01,2012,8,Agosto,83326
2012-09-01,2012,9,Septiembre,79961
2012-10-01,2012,10,Octubre,83172
2012-11-01,2012,11,Noviembre,91966
2012-12-01,2012,12,Diciembre,110998
2013-01-01,2013,1,Enero,84403
2013-02-01,2013,2,Febrero,80285
2013-03-01,2013,3,Marzo,82860
2013-04-01,2013,4,Abril,83647
2013-05-01,2013,5,Mayo,87638
2013-06-01,2013,6,Junio,83858
2013-07-01,2013,7,Julio,86760
2013-08-01,2013,8,Agosto,88586
2013-09-01,2013,9,Septiembre,78555
2013-10-01,2013,10,Octubre,88416
2013-11-01,2013,11,Noviembre,100571
2013-12-01,2013,12,Diciembre,119519
2014-01-01,2014,1,Enero,85614
2014-02-01,2014,2,Febrero,80037
2014-03-01,2014,3,Marzo,85767
2014-04-01,2014,4,Abril,76941
2014-05-01,2014,5,Mayo,88388
2014-06-01,2014,6,Junio,84207
2014-07-01,2014,7,Julio,96366
2014-08-01,2014,8,Agosto,103994
2014-09-01,2014,9,Septiembre,89313
2014-10-01,2014,10,Octubre,101090
2014-11-01,2014,11,Noviembre,111837
2014-12-01,2014,12,Diciembre,133411
2015-01-01,2015,1,Enero,103805
2015-02-01,2015,2,Febrero,97659
2015-03-01,2015,3,Marzo,105034
2015-04-01,2015,4,Abril,94953
2015-05-01,2015,5,Mayo,102156
2015-06-01,2015,6,Junio,107097
2015-07-01,2015,7,Julio,111863
2015-08-01,2015,8,Agosto,112307
2015-09-01,2015,9,Septiembre,111705
2015-10-01,2015,10,Octubre,120214
2015-11-01,2015,11,Noviembre,126750
2015-12-01,2015,12,Diciembre,160901
2016-01-01,2016,1,Enero,119833
2016-02-01,2016,2,Febrero,111126
2016-03-01,2016,3,Marzo,117252
2016-04-01,2016,4,Abril,118754
2016-05-01,2016,5,Mayo,121879
2016-06-01,2016,6,Junio,134913
2016-07-01,2016,7,Julio,132109
2016-08-01,2016,8,Agosto,134388
2016-09-01,2016,9,Septiembre,131888
2016-10-01,2016,10,Octubre,137503
2016-11-01,2016,11,Noviembre,154779
2016-12-01,2016,12,Diciembre,192741
2017-01-01,2017,1,Enero,123447
2017-02-01,2017,2,Febrero,118193
2017-03-01,2017,3,Marzo,137245
2017-04-01,2017,4,Abril,114938
2017-05-01,2017,5,Mayo,123429
2017-06-01,2017,6,Junio,127752
2017-07-01,2017,7,Julio,122678
2017-08-01,2017,8,Agosto,125985
2017-09-01,2017,9,Septiembre,116716
2017-10-01,2017,10,Octubre,123602
2017-11-01,2017,11,Noviembre,141724
2017-12-01,2017,12,Diciembre,159234
2018-01-01,2018,1,Enero,109445
2018-02-01,2018,2,Febrero,109846
2018-03-01,2018,3,Marzo,119127
2018-04-01,2018,4,Abril,109748
2018-05-01,2018,5,Mayo,115155
2018-06-01,2018,6,Junio,120298
2018-07-01,2018,7,Julio,115047
2018-08-01,2018,8,Agosto,119487
2018-09-01,2018,9,Septiembre,114888
2018-10-01,2018,10,Octubre,117602
2018-11-01,2018,11,Noviembre,134143
2018-12-01,2018,12,Diciembre,142300
2019-01-01,2019,1,Enero,111514
2019-02-01,2019,2,Febrero,104009
2019-03-01,2019,3,Marzo,117529
2019-04-01,2019,4,Abril,98366
2019-05-01,2019,5,Mayo,102422
2019-06-01,2019,6,Junio,106782
2019-07-01,2019,7,Julio,106104
2019-08-01,2019,8,Agosto,108074
2019-09-01,2019,9,Septiembre,100757
2019-10-01,2019,10,Octubre,107110
2019-11-01,2019,11,Noviembre,124804
2019-12-01,2019,12,Diciembre,130460
2020-01-01,2020,1,Enero,104852
2020-02-01,2020,2,Febrero,104338
2020-03-01,2020,3,Marzo,87541
2020-04-01,2020,4,Abril,34927
2020-05-01,2020,5,Mayo,42034
2020-06-01,2020,6,Junio,62861
2020-07-01,2020,7,Julio,72921
2020-08-01,2020,8,Agosto,77120
2020-09-01,2020,9,Septiembre,77808
2020-10-01,2020,10,Octubre,84351
2020-11-01,2020,11,Noviembre,95707
2020-12-01,2020,12,Diciembre,105603
2021-01-01,2021,1,Enero,81657
2021-02-01,2021,2,Febrero,82863
2021-03-01,2021,3,Marzo,96319
2021-04-01,2021,4,Abril,84287
2021-05-01,2021,5,Mayo,86710
2021-06-01,2021,6,Junio,88688
2021-07-01,2021,7,Julio,82157
2021-08-01,2021,8,Agosto,78235
2021-09-01,2021,9,Septiembre,76930
2021-10-01,2021,10,Octubre,76640
2021-11-01,2021,11,Noviembre,82829
2021-12-01,2021,12,Diciembre,97420
2022-01-01,2022,1,Enero,78585
2022-02-01,2022,2,Febrero,79598
2022-03-01,2022,3,Marzo,95199
2022-04-01,2022,4,Abril,83459
2022-05-01,2022,5,Mayo,91215
2022-06-01,2022,6,Junio,90368
2022-07-01,2022,7,Julio,83598
2022-08-01,2022,8,Agosto,91988
2022-09-01,2022,9,Septiembre,87051
2022-10-01,2022,10,Octubre,92596
2022-11-01,2022,11,Noviembre,97789
2022-12-01,2022,12,Diciembre,123382
2023-01-01,2023,1,Enero,94414
2023-02-01,2023,2,Febrero,101911
2023-03-01,2023,3,Marzo,118801
2023-04-01,2023,4,Abril,97610
2023-05-01,2023,5,Mayo,106798
2023-06-01,2023,6,Junio,113668
2023-07-01,2023,7,Julio,110991
2023-08-01,2023,8,Agosto,114097
2023-09-01,2023,9,Septiembre,118252
2023-10-01,2023,10,Octubre,114031
2023-11-01,2023,11,Noviembre,129479
2023-12-01,2023,12,Diciembre,143662
2024-01-01,2024,1,Enero,113455
2024-02-01,2024,2,Febrero,114880
2024-03-01,2024,3,Marzo,126172
2024-04-01,2024,4,Abril,113983
2024-05-01,2024,5,Mayo,120968
2024-06-01,2024,6,Junio,123903
2024-07-01,2024,7,Julio,125840
2024-08-01,2024,8,Agosto,128609
2024-09-01,2024,9,Septiembre,117330
2024-10-01,2024,10,Octubre,123178
2024-11-01,2024,11,Noviembre,148864
2024-12-01,2024,12,Diciembre,147140
2025-01-01,2025,1,Enero,120953
2025-02-01,2025,2,Febrero,118602
2025-03-01,2025,3,Marzo,128434
2025-04-01,2025,4,Abril,109420
2025-05-01,2025,5,Mayo,121110
2025-06-01,2025,6,Junio,117780
2025-07-01,2025,7,Julio,126541
2025-08-01,2025,8,Agosto,126545
2025-09-01,2025,9,Septiembre,119766
2025-10-01,2025,10,Octubre,132674
2025-11-01,2025,11,Noviembre,148362
2025-12-01,2025,12,Diciembre,154448
2026-01-01,2026,1,Enero,131779
2026-02-01,2026,2,Febrero,118305
2026-03-01,2026,3,Marzo,131566
2026-04-01,2026,4,Abril,118859
2026-05-01,2026,5,Mayo,127107
2026-06-01,2026,6,Junio,126902
2026-07-01,2026,7,Julio,130835
2026-08-01,2026,8,Agosto,129362
